-----,Количество обращений СТП на 100 абонентов 4.5,СТП Проблемы 2,СИ Проблемы 2,Телефонисты 0.4
Октябрь 1-7,1.60349854227405,0.291545189504373,0.845481049562682,0.0874635568513119
Октябрь    7-14,1.7650462962963,0.318287037037037,0.83912037037037,0.115740740740741
Октябрь    15-21,1.00344036697248,0.172018348623853,0.716743119266055,0.0286697247706422
Октябрь    22-28,1.34247357897744,0.428449014567267,0.942587832047986,0.114253070551271
Октябрь  29-31,0.51413881748072,0.171379605826907,0.25706940874036,0.0285632676378178
 Октябрь ,6.16966580976864,1.37103684661525,3.57040845472722,0.371322479291631
Ноябрь 1-7,1.13571834185122,0.255536626916525,0.681431005110732,0.0283929585462805
Ноябрь    7-14,1.01608806096528,0.225797346881174,0.479819362122495,0.0282246683601468
