---,Количество обращений СТП на 100 абонентов ,СТП Проблемы ,СИ Проблемы ,Телефонисты 
Октябрь 1-7,1.35275754422477,0.312174817898023,0.520291363163372,0.104058272632674
Октябрь    8-14,2.03208556149733,0.320855614973262,0.106951871657754,0.320855614973262
Октябрь    15-21,1.07181136120043,0.107181136120043,0.214362272240086,0.107181136120043
Октябрь    22-28,1.05820105820106,0.105820105820106,0.211640211640212,0.317460317460317
Октябрь  29-31,0.745473908413206,0.106496272630458,0.212992545260916,0.212992545260916
 Октябрь ,6.28328008519702,0.958466453674121,1.2779552715655,1.06496272630458
Ноябрь 1-7,0.211640211640212,0,0,0
Ноябрь    8-14,1.27931769722815,0.213219616204691,0.106609808102345,0.213219616204691
